Gene name	sscrofa_dNdS
1700007K13Rik	0.1745400758066007
1700028K03Rik	0.24905446293494704
1700109H08Rik	0.3801838610827375
2810459M11Rik	0.3482212819307319
4932438H23Rik	0.3151506497215479
4933411K16Rik	0.2694570353939628
6820408C15Rik	0.3984821352434552
A2m	0.3042379182156134
Aass	0.09678362573099414
Abca1	0.05374345107317898
Abcb9	0.04429240187252431
Abcc12	0.14461863660384008
Abcd2	0.07473237729751568
Abhd3	0.12685125563425628
Acot11	0.07436336400599187
Acsbg1	0.12265446224256292
Acsf2	0.2486367177356531
Acsl6	0.12291743798593112
Acss1	0.11351308859366402
Actr3b	0.08345246604717656
Adamts3	0.12117816551944935
Adamts5	0.07777106614315916
Adamts6	0.07191568505889646
Adcy2	0.07436852168662574
Adcyap1r1	0.0536017188736854
Adhfe1	0.1478794642857143
Adra2a	0.030623880110767224
Adrb1	0.057558760683760674
Agl	0.06495204882301656
Agt	0.17511773940345368
Aifm3	0.10996263019798044
Ak4	0.1140215716486903
Ak7	0.0812204555221315
Akt2	0.026706827309236948
Alcam	0.06918779544477867
Aldh1l1	0.054390563564875496
Aldoc	0.02563554795983764
Alms1	0.5291235710397387
Alpk1	0.32445678810651857
Alpl	0.04907098618389709
Als2cl	0.1514787208463573
Amigo3	0.14388553945829208
Amot	0.1474694589877836
Ampd2	0.02870090634441088
Angptl1	0.05875932326723667
Ankrd9	0.0071540349601309046
Antxr1	0.04653885555392946
Anxa9	0.2411839682764481
Aox1	0.2040157762638939
Appl2	0.09417741305197344
Aqp4	0.04945379391792146
Aqp9	0.3272851296043656
Arap2	0.1634451832379774
Arhgap21	0.114938129863503
Arhgap5	0.03783632286995516
Arhgef26	0.096529284164859
Arhgef33	0.08307742039760789
Arl9	0.21197411003236247
Arpp21	0.13137530777347872
Arrdc3	0.03132054176072235
Aspg	0.10858520623439248
Aspm	0.2566594260889448
Atl2	0.09702191421614534
Atp1b2	0.014617057260207782
Atp2b4	0.14637546468401488
Atxn7	0.19191270860077025
Axin2	0.08164134601732216
Axl	0.09710684617588083
B3gnt5	0.2118201717460852
Baalc	0.359425164347959
Bcan	0.1641839378238342
Bdh2	0.06877557444129682
Bdkrb2	0.04767666989351405
Bdnf	0.02913851351351351
Bhlhe40	0.11855482933914308
Bmper	0.06281323087203475
Bmpr1a	0.03057729941291585
Bmpr1b	0.01195669736629504
Boc	0.17643391521197005
Btbd17	0.03524004085801838
C4b	0.2246779489770144
Cachd1	0.057940218161212635
Camk2g	0.0030821917808219177
Cap2	0.0930661421194984
Capn11	0.1685916375682693
Caps2	0.2555128205128205
Capsl	0.08670232615997013
Car3	0.1939284724147491
Car5b	0.13956587966488956
Car8	0.00873059866962306
Caskin1	0.057685704475220326
Catsper2	0.3441217150760719
Cbr3	0.07924825864108292
Cbs	0.09090909090909093
Cbx5	0.0200836820083682
Cc2d2a	0.1365182436611008
Ccdc138	0.2120721554116559
Ccdc3	0.060410557184750725
Ccdc60	0.12123360510457284
Ccdc80	0.15246713334471573
Ccdc88c	0.08948128024450293
Ccdc96	0.10741803048197514
Ccna1	0.09870507399577166
Ccnd2	0.06688963210702341
Cd38	0.3894461404273877
Cd44	0.3698324022346369
Cdh10	0.027344378317516488
Cdh20	0.04113924050632912
Cdk5rap2	0.2989092917299461
Cecr2	0.189497290226126
Celsr1	0.06051650130180845
Chd9	0.07898524649154373
Chic1	0.037882467217095685
Chrdl1	0.09892328398384928
Chsy1	0.02888989990900819
Cideb	0.16266228921056558
Ckap5	0.052643893308376224
Cldn10	0.07908163265306123
Clmn	0.19766260162601626
Clu	0.13811747358073234
Cmya5	0.4425757575757576
Cnn1	0.08317025440313112
Cntd1	0.1707685664939551
Cntfr	0.05360478147179679
Col16a1	0.1549234135667396
Col4a5	0.14064171122994654
Col4a6	0.366138448707256
Col9a1	0.10264663805436336
Cpe	0.04707393996028502
Cpxm2	0.06205985915492958
Crb2	0.1490366687383468
Creb3l1	0.06214177978883863
Creb5	0.034546959040132386
Crot	0.1946823697359029
Cry2	0.10514507927011668
Csmd1	0.04972592012529365
Cspg5	0.2197324414715719
Cspp1	0.21230715287517526
Cth	0.11544265593561368
Ctnnd2	0.035370611183355
Cybrd1	0.2275257210322145
Cyp1b1	0.11577248890681728
Cyp7b1	0.3471074380165289
D630003M21Rik	0.3555408970976254
Daam2	0.055084239455132036
Dab1	0.07430774623203645
Dag1	0.06798655211057154
Dbi	0.13912961567445364
Dbx2	0.17394685677252109
Dclk1	0.06168306652959319
Dclk2	0.08176601848900224
Ddhd1	0.14221861032100772
Ddit4l	0.08135059482155353
Ddo	0.2573566933151897
Ddr2	0.03789338471419396
Dgkb	0.03201539538138558
Dhtkd1	0.07895703268453913
Dlg5	0.06159370252727525
Dlk1	0.1172968456235638
Dmp1	0.2557443625093513
Dnaic1	0.08207378514545753
Dnali1	0.06584030907920155
Dock7	0.014697776961234612
Dpf3	0.03179674425680815
Dpy19l3	0.12720055229547808
Drp2	0.06036571932143644
Dtna	0.04261682242990654
Dync2h1	0.05205606037270906
Dynlrb2	0.026161238654564867
