Gene name	mean
1110032F04Rik	0.071618264069996
1600014C23Rik	0.7335904067607751
1700007K13Rik	0.21524962066887612
1700028K03Rik	0.20697966547926452
1700109H08Rik	0.35788531907277604
2410004P03Rik	0.6373996263216138
2810459M11Rik	0.2828296478224054
4932438H23Rik	0.3731729506495209
4933411K16Rik	0.3244297715035043
6720489N17Rik	1.342581888246628
6820408C15Rik	0.3773198560884541
A2m	0.3212063951448316
Aass	0.10744807403779973
Abca1	0.05348879708321765
Abcb9	0.03870456212736728
Abcc12	0.14757524113257298
Abcd2	0.07619721484662371
Abhd3	0.07514076236874401
Acot1	0.2848200312989045
Acot11	0.07849893244001614
Acot5	0.3088210015934617
Acsbg1	0.09151057902164526
Acsf2	0.17310630805504118
Acsl6	0.12724025885885198
Acss1	0.09544020451026664
Actr3b	0.04609627490590442
Adamts3	0.12226014849245533
Adamts5	0.08351152417449463
Adamts6	0.07534261649611503
Adcy2	0.0476531901492643
Adcyap1r1	0.0806732479003175
Adhfe1	0.11774293398775453
Adora2b	0.1236770435911652
Adra2a	0.035446715316407175
Adrb1	0.04769928826630152
Agl	0.06730937207366683
Agt	0.2142640691394788
AI987944	0.24924924924924924
Aifm3	0.04404708908149862
Ak4	0.12120431824180875
Ak7	0.10488339681273644
Akt2	0.026671824825072115
Alcam	0.09328402611309976
Aldh1l1	0.06741826325276963
Aldoc	0.034576324783167516
Alms1	0.5618232067079555
Alpk1	0.31394206960351123
Alpk3	0.34004110787691816
Alpl	0.05253119435089682
Als2cl	0.12559033275625414
Amigo3	0.1550767271568357
Amot	0.17216306337232332
Ampd2	0.02643852383484593
Angptl1	0.06825147243223928
Ankrd9	0.058660927947711064
Antxr1	0.06235137354795935
Anxa9	0.22191419988620145
Aox1	0.20214741795838084
Appl2	0.0976639875802778
Aqp4	0.07872871133776442
Aqp9	0.3698972595602222
Arap2	0.1544291599764884
Arhgap21	0.11905402694996345
Arhgap5	0.035572880012371175
Arhgef26	0.10471390987023917
Arhgef33	0.0835000150100919
Arl9	0.2944086746274889
Arpp21	0.14796002799406427
Arrdc3	0.045368027439950366
Aspg	0.14093109536483758
Aspm	0.3051974204516993
Atl2	0.05756766699676277
Atp13a4	0.15760640598626002
Atp1a2	0.012511884033669388
Atp1b2	0.023877692594262968
Atp2b4	0.16252248555853166
Atxn7	0.2419295356624157
AU041133	0.06263010776492606
Axin2	0.08890944097445418
Axl	0.11707221667175495
B3gnt5	0.2327277854488468
Baalc	0.35337059317706204
Bcan	0.1629075412948346
Bdh2	0.08991005214098839
Bdkrb2	0.0714979359317328
Bdnf	0.053224201528121316
Bhlhe40	0.09503720077123053
Bmper	0.07223031531071825
Bmpr1a	0.033171302896606365
Bmpr1b	0.019864145862260974
Boc	0.11703411124257265
Btbd17	0.03574436629124912
C2cd4b	0.2180113215901877
C4b	0.2182766675898471
Cachd1	0.03462590198598798
Calr4	0.1927661822146466
Camk2g	0.05264197153891032
Cap2	0.09979199010927207
Capn11	0.1818713774479192
Caps2	0.2692894770449836
Capsl	0.0529681602726753
Car3	0.0566879797145185
Car5b	0.14403177659341168
Car8	0.027775400497291783
