Gene name	rnorvegicus_dNdS
0610010F05Rik	0.09026548672566373
0610010K14Rik	0.0640096618357488
0610030E20Rik	0.10618692408951294
0610040J01Rik	0.4273237679351217
1110004F10Rik	0.061174551386623165
1110012L19Rik	0.4514128187456926
1110017D15Rik	0.0792042042042042
1110032A03Rik	0.3943366544310435
1110038F14Rik	0.4297135243171219
1110051M20Rik	0.035483870967741936
1110059E24Rik	0.32306477093206953
1110059G10Rik	0.09545875810936053
1110065P20Rik	0.11865864144453997
1190007I07Rik	0.3192982456140351
1500009C09Rik	0.09375
1600002K03Rik	0.3391723787763392
1600012H06Rik	0.23136246786632395
1600014C10Rik	0.25960932577189666
1700001L19Rik	0.5471521942110178
1700003E16Rik	0.7172495554238293
1700021F05Rik	0.20954907161803712
1700029J07Rik	0.16742081447963802
1700030K09Rik	0.6305237315875613
1700037C18Rik	0.11634349030470913
1700037H04Rik	0.09737827715355804
1700066M21Rik	0.42020046260601385
1700094D03Rik	0.4575835475578406
1700123O20Rik	0.3709834469328141
1810010H24Rik	0.08167330677290836
1810030O07Rik	0.20736132711249355
1810037I17Rik	0.520392749244713
1810055G02Rik	0.8365019011406843
1810058I24Rik	0.0930442637759711
2010300C02Rik	0.37241379310344813
2210016F16Rik	0.2175548589341693
2210016L21Rik	0.2655790318266916
2210408I21Rik	0.4568616097278518
2300009A05Rik	0.30612244897959184
2310009B15Rik	0.5497412305922944
2310011J03Rik	0.1880021424745581
2310022A10Rik	0.16722185209860094
2310022B05Rik	0.19232876712328767
2310033P09Rik	0.101749837977965
2310057M21Rik	0.23847926267281105
2310061I04Rik	0.2697508896797153
2410004B18Rik	0.11342021838675592
2410131K14Rik	0.023431867339581837
2510009E07Rik	0.039560439560439566
2510039O18Rik	0.040442946557534915
2610008E11Rik	0.11262626262626263
2610507B11Rik	0.08599167822468794
2700049A03Rik	0.30954356846473025
2700062C07Rik	0.2987598647125141
2700081O15Rik	0.08262350936967633
2700097O09Rik	0.2952598515134209
2810004N23Rik	0.5182277061132923
2810006K23Rik	0.2677677677677677
2810021J22Rik	0.4128745837957825
2810408A11Rik	0.5619539316918188
3110009E18Rik	0.12649736463823671
3110040N11Rik	0.13357899585444494
3110082I17Rik	0.1843257443082312
4833420G17Rik	0.5199286139202856
4833439L19Rik	0.2341166231505657
4930402H24Rik	0.1929397443700548
4930404N11Rik	0.1749144811858609
4930430F08Rik	0.11546610169491525
4930452B06Rik	0.3645797301971636
4930453N24Rik	0.297008547008547
4930503L19Rik	0.3284217419777341
4930579G24Rik	0.0438810336421258
4931406C07Rik	0.12131147540983607
4931406P16Rik	0.07917383820998279
4931428F04Rik	0.17974683544303802
4932438A13Rik	0.04474610356963298
5031439G07Rik	0.040842105263157895
5330417C22Rik	0.0544824170381377
5730455P16Rik	0.09306930693069307
6030458C11Rik	0.28370927318295736
6330403K07Rik	0.2974683544303798
6430548M08Rik	0.022534013605442174
6430571L13Rik	0.10209163346613546
9330159F19Rik	0.7145270270270271
9330182L06Rik	0.14360655737704914
9430015G10Rik	0.17315175097276264
9530068E07Rik	0.3656683057666517
9530077C05Rik	0.1923631123919308
9930021J03Rik	0.2860548271752086
9930104L06Rik	0.2233009708737864
A130010J15Rik	0.4817221770917953
A430005L14Rik	0.3473736372646184
A830018L16Rik	0.15754779169413316
Aaas	0.10240112994350282
Aacs	0.04401342782543827
Aagab	0.2404411764705882
Aak1	0.11142454160789846
Aamp	0.015547703180212015
Aard	0.09736842105263158
Aars	0.055769230769230765
Aars2	0.120627261761158
Aasdh	0.3097629570108477
Aasdhppt	0.116542994325622
Aatf	0.29314720812182743
Aatk	0.1632047477744807
Abat	0.0758505298382599
Abca1	0.07353608715388107
Abca3	0.09978880675818373
Abca5	0.09252265861027192
Abca7	0.2166270783847981
Abca8a	0.3827775012444002
Abca8b	0.3421400264200793
Abcb10	0.11028385295486272
Abcb6	0.15881561238223418
Abcb7	0.2047546012269939
Abcb8	0.22394822006472487
Abcb9	0.007526178010471204
Abcc1	0.15289765721331688
Abcc10	0.17024320457796854
Abcc5	0.06921944035346098
Abcc8	0.02730769230769231
Abcd1	0.091792656587473
Abcd2	0.06377551020408162
Abcd3	0.04144055254070054
Abcd4	0.07308970099667772
Abce1	0.0033984706881903144
Abcf1	0.08204081632653061
Abcf2	0.015701136978884676
Abcf3	0.04955401387512389
Abcg1	0.018329221008107157
Abcg2	0.2067736185383244
Abcg4	0.05561926605504587
Abhd11	0.3944153577661431
Abhd12	0.008397480755773267
Abhd13	0.02466236054022313
Abhd14a	0.2726744186046512
Abhd14b	0.4863123993558776
Abhd16a	0.11177944862155388
Abhd2	0.015129682997118154
Abhd3	0.06307977736549164
Abhd4	0.02751031636863824
Abhd5	0.01753246753246754
Abhd6	0.0599058622165169
Abhd8	0.0768378278537126
Abi1	0.02017291066282421
Abi2	0.04507042253521126
Abl2	0.07407407407407407
Ablim1	0.1067496409765438
Ablim2	0.09774436090225563
Ablim3	0.032524807056229316
Abr	0.014634146341463415
Abt1	0.443796835970025
