Gene name	hsapiens_dNdS
0610010K14Rik	0.08993506493506494
0610012G03Rik	0.08996806519105825
0610030E20Rik	0.1585433143277543
0610040J01Rik	0.42753025302530256
1110004F10Rik	0.023013263802289987
1110008P14Rik	0.05109845402766476
1110032A03Rik	0.23933609958506225
1110038F14Rik	0.42020169681447095
1110051M20Rik	0.0661106590724166
1110059E24Rik	0.20514040932889105
1110065P20Rik	0.11571627260083447
1190007I07Rik	0.28826600714482004
1600002K03Rik	0.14858911150739534
1600014C10Rik	0.13583423618634888
1700003F12Rik	0.452134272689598
1700017B05Rik	0.21735131820968734
1700020L24Rik	0.17676847602468745
1700021F05Rik	0.18283529245149413
1700030K09Rik	0.4012738853503184
1700037C18Rik	0.5243542435424354
1700037H04Rik	0.12336486214530085
1700123O20Rik	0.2780830280830281
1810010H24Rik	0.0736122284794851
1810013L24Rik	0.0740343347639485
1810030O07Rik	0.16673989455184535
1810055G02Rik	0.7097306212204508
1810058I24Rik	0.14905149051490515
2010300C02Rik	0.2239826032929481
2210016F16Rik	0.16526806526806528
2210016L21Rik	0.2579887218045113
2300009A05Rik	0.11163734776725306
2310009A05Rik	0.8943690916563912
2310009B15Rik	0.3590091618595181
2310011J03Rik	0.12919829468649266
2310022A10Rik	0.1389042612064195
2310022B05Rik	0.1104375828755446
2310033P09Rik	0.11781888997078868
2310057M21Rik	0.3217018100391864
2310061I04Rik	0.28689492325855964
2410004B18Rik	0.06198717506722747
2510009E07Rik	0.05546246648793565
2510039O18Rik	0.04386951631046119
2610001J05Rik	0.10148849797023003
2610301B20Rik	0.3318345323741007
2610507B11Rik	0.07626236335242062
2610528A11Rik	0.7055931161647203
2700062C07Rik	0.27031564808596376
2700081O15Rik	0.1010593220338983
2810004N23Rik	0.3032659409020217
2810006K23Rik	0.14381443298969074
3110009E18Rik	0.20288527593313488
3110040N11Rik	0.24287353278616186
3110082I17Rik	0.2295386904761905
4833420G17Rik	0.2360165975103734
4833439L19Rik	0.301707779886148
4930402H24Rik	0.22198217661355651
4930453N24Rik	0.22839352428393525
4931406C07Rik	0.11504741456432277
4931406P16Rik	0.0862316757688991
4931428F04Rik	0.1454849498327759
5031439G07Rik	0.056687748887327236
5430427O19Rik	0.18258843465367505
5730409E04Rik	0.1398248478551284
6030458C11Rik	0.2334125388411625
6030468B19Rik	0.39700780572419775
6330403K07Rik	0.2355788624445341
6430548M08Rik	0.05284168505095073
8030462N17Rik	0.08048433048433049
9430015G10Rik	0.174234034699151
9530068E07Rik	0.2159423731496873
A430005L14Rik	0.29765931538357465
Aaas	0.07235195996663886
Aacs	0.047864225781845925
Aagab	0.14168984700973575
Aak1	0.12635273471775374
Aamp	0.012885591565794613
Aars	0.03753804531619885
Aars2	0.15214180206794686
Aasdh	0.2725878202178248
Aasdhppt	0.0726643598615917
Aatf	0.2085969482694455
Aatk	0.15547415547415547
AB124611	0.20298585646935569
Abat	0.07451686865378315
Abca1	0.04790182106096595
Abca2	0.02949554350822383
Abca3	0.06729213846651569
Abca7	0.12346632346632347
Abca9	0.2446110590440488
Abcb10	0.1859587317564167
Abcb4	0.09836065573770493
Abcb6	0.14943023005805206
Abcb7	0.15138439410284069
Abcb8	0.13900750993962596
Abcb9	0.036426712922810064
Abcc1	0.06036446469248291
Abcc10	0.1957649092480553
Abcc3	0.1627803356601812
Abcc4	0.09715221774193547
Abcc5	0.05763933036660309
Abcd1	0.056955239882069165
Abcd2	0.06596767147225863
Abcd3	0.0508624502432552
Abcd4	0.11260971954613573
Abcf1	0.0643507972665148
Abcf3	0.030216850337717743
Abcg1	0.014788004136504653
Abhd10	0.2352727272727272
Abhd11	0.2602722136620441
Abhd12	0.1104107360715738
Abhd13	0.027213647441104792
Abhd14a	0.22945072068562525
Abhd15	0.07529497628025787
Abhd16a	0.04155900086132645
Abhd2	0.010906040268456376
Abhd3	0.05850153951419775
Abhd4	0.04446797247220751
Abhd5	0.0467406876790831
Abhd6	0.06825358270585377
Abhd8	0.02931734205584832
Abi1	0.027367773677736774
Abi2	0.036318613289310776
Abi3	0.1164283629997082
Abl1	0.08726344247521779
Abl2	0.08257437765634486
Ablim2	0.0645314729665451
Abr	0.02644815836443291
Abt1	0.17081545064377684
Acaa2	0.11018020866266202
Acad11	0.19876464998416216
Acad8	0.10540645663166084
Acad9	0.12124045504129652
Acadl	0.11032616864572374
Acadm	0.06868905742145179
Acads	0.0722254004576659
Acadsb	0.13637652395803798
Acadvl	0.19395555555555555
Acap2	0.03519822156354205
Acap3	0.03183925811437403
Acat1	0.19692603266090292
Acbd3	0.11986153180441368
Acbd4	0.3297676750793916
Acbd5	0.1979754720654078
Acbd6	0.20182555780933065
Accs	0.16803953871499175
Acd	0.4425953627524308
Acer3	0.1786536248561565
Ache	0.12808372788437578
Acin1	0.19572107765451666
Acly	0.016301292861157956
Aco1	0.06164988517929694
Aco2	0.02954927997007668
Acot13	0.16402204777016868
Acot7	0.06919211441824506
Acot8	0.13279042712315106
Acox1	0.09106239460370996
Acox3	0.17281492349612235
