Gene name	sscrofa_dNdS
0610010K14Rik	0.12844217151848938
0610030E20Rik	0.09916351861845656
0610040J01Rik	0.3700393658899883
1110004F10Rik	0.034266517357222845
1110032A03Rik	0.3719153200551171
1110038F14Rik	0.3189425017907143
1110051M20Rik	0.1610531714823047
1110059E24Rik	0.26026936026936026
1110065P20Rik	0.2027324812692816
1190007I07Rik	0.314753320683112
1500009C09Rik	0.028210116731517514
1600014C10Rik	0.2609603340292276
1700003E16Rik	0.3367654890821942
1700003F12Rik	0.3075205640423032
1700017B05Rik	0.2071078431372549
1700021F05Rik	0.2426435877261999
1700030K09Rik	0.4228021432823973
1700037C18Rik	0.24160908193484695
1700037H04Rik	0.10584142098516754
1700123O20Rik	0.18598761958356785
1810013L24Rik	0.07356076759061835
1810030O07Rik	0.1651877133105802
1810037I17Rik	0.3045063291139241
1810055G02Rik	0.5585649317837291
2010300C02Rik	0.22202518176981734
2210016F16Rik	0.16782902137232847
2210016L21Rik	0.21706263498920086
2300009A05Rik	0.0813920046016681
2310009B15Rik	0.3166882276843467
2310011J03Rik	0.12082012806416145
2310022A10Rik	0.17770767613038907
2310022B05Rik	0.17073615160349856
2310033P09Rik	0.058173588924387634
2310061I04Rik	0.2675663099115868
2410004B18Rik	0.11265616512764802
2410131K14Rik	0.11233958538993093
2510009E07Rik	0.045046630300897415
2510039O18Rik	0.051009765810183
2610301B20Rik	0.2789937106918239
2610507B11Rik	0.1137762683082148
2610528A11Rik	0.7465714822468532
2700062C07Rik	0.28744716044844704
2700081O15Rik	0.08610772180582188
2810004N23Rik	0.32238667900092505
2810006K23Rik	0.1865322290241268
3110009E18Rik	0.1585546939448936
3110040N11Rik	0.17998533724340174
3110082I17Rik	0.04733821806556661
4833420G17Rik	0.2973193854200719
4833439L19Rik	0.33738783649052845
4930402H24Rik	0.20293040293040293
4930404N11Rik	0.10663132241652057
4930453N24Rik	0.2317044100119189
4931406C07Rik	0.11865267433987813
4931406P16Rik	0.08581005586592177
4931428F04Rik	0.11944402016190625
5031439G07Rik	0.05955410770640335
5430427O19Rik	0.1807511737089202
5730409E04Rik	0.14489155996864386
6030458C11Rik	0.20871839581517
6430548M08Rik	0.036017237468813794
8030462N17Rik	0.09057861254165404
9130023H24Rik	0.005131470089341425
9430015G10Rik	0.2587925782331764
9530068E07Rik	0.2830690645950836
A430005L14Rik	0.274931841010188
Aaas	0.12078531796841654
Aacs	0.04430379746835443
Aagab	0.1228620743762749
Aak1	0.15792772091080007
Aamp	0.015876468029578074
Aars	0.04166666666666667
Aars2	0.1343899840170485
Aasdh	0.2733238231098431
Aasdhppt	0.08075221238938053
Aatf	0.2357470511140236
Aatk	0.13615218474829704
AB124611	0.18840732169156324
Abat	0.05132763026330407
Abca1	0.05374345107317898
Abca3	0.06481183660340946
Abca7	0.1366906474820144
Abca9	0.22492307692307686
Abcb10	0.16631529632232372
Abcb6	0.12330437433318092
Abcb7	0.16005706134094153
Abcb8	0.19887228139264296
Abcb9	0.04429240187252431
Abcc1	0.0610477957416733
Abcc10	0.1505134788189987
