mt-Cytb	1	MT	14145	15288
mt-Nd6	-1	MT	13552	14070
mt-Nd5	1	MT	11742	13565
mt-Nd4	1	MT	10167	11544
mt-Nd4l	1	MT	9877	10173
mt-Nd3	1	MT	9459	9806
mt-Co3	1	MT	8607	9390
mt-Atp6	1	MT	7927	8607
mt-Atp8	1	MT	7766	7969
mt-Co2	1	MT	7013	7696
mt-Co1	1	MT	5328	6872
mt-Nd2	1	MT	3914	4951
mt-Nd1	1	MT	2751	3707
Actl10	1	2	154551776	154553276
Btbd35f29	1	X	31117674	31119170
Ccl27a	1	JH584294.1	2012	3786
AC132444.1	-1	GL456221.1	17591	30203
AC124606.2	1	JH584299.1	806210	809281
Olfr290	1	7	84915781	84916728
Gm21748	-1	Y	90838869	90839177
3110021N24Rik	1	4	108719649	108781904
AC125149.4	1	GL456210.1	147792	149707
Gm10720	1	9	3015654	3017210
Gm11011	-1	2	169582845	169587745
Csprs	-1	GL456221.1	111572	163011
AC140325.2	1	GL456354.1	6366	8939
Gm10999	-1	8	129129097	129131661
Gm21833	1	16	82828382	82829881
Gm6020	1	19	61183890	61183955
AC133103.4	-1	GL456211.1	30483	32396
CR974586.2	-1	JH584293.1	41602	43114
Gm3893	1	4	42091207	42092287
CT868723.1	-1	JH584294.1	138344	144557
Gm17542	-1	10	58713606	58718210
Gm8334	-1	X	148613253	148615153
Gm21830	1	2	67413725	67433086
AC123873.2	1	JH584299.1	173050	176134
Gm17364	-1	13	41273803	41273977
Gm10563	-1	4	155614413	155645408
Gm21738	-1	14	19415857	19418930
Gm17631	1	6	129862649	129864393
Gm20721	-1	2	174330319	174346712
Vmn1r186	-1	GL456219.1	94186	95088
Tsr3	1	17	25240170	25242798
Gm10160	-1	7	81855533	81855794
Gm26657	1	4	56740070	56741377
Gm7735	1	16	89169490	89169648
Gm17268	-1	11	82028224	82038562
Gnptg	-1	17	25233331	25240124
Gm26620	1	1	170885065	170885881
CR974586.4	1	JH584293.1	103128	104629
Gm10772	-1	13	66227319	66227573
Gm21863	1	12	19954505	19954840
Gm21750	1	14	73661225	73662721
AC132444.2	1	GL456221.1	58743	59114
A930002H24Rik	-1	17	63863300	63863791
Gm17304	1	5	106609098	106609201
Gm10974	1	7	66365905	66386309
Gm10801	1	2	98662237	98664083
Gm21876	-1	X	21174439	21175653
AC140325.1	-1	GL456354.1	25923	27230
Gm10401	-1	5	115097689	115098295
AC132444.6	1	GL456221.1	151235	152734
Gm10181	1	9	25089422	25089490
Il11ra2	1	JH584293.1	10948	16486
Gm10945	-1	10	6740629	6761761
Gm11042	-1	12	74315110	74316394
Gm17606	1	14	54640952	54648293
AC102264.1	-1	GL456219.1	149261	150163
Poll	-1	19	45552275	45560531
Gm11116	-1	5	88110567	88111530
Gm21828	-1	Y	13223386	13223928
AC140325.4	1	GL456354.1	158543	161339
Gm11099	1	2	58859434	58907618
CAAA01118383.1	1	GL456216.1	15881	36183
AC125178.2	1	JH584298.1	179693	182203
Gm17555	1	2	126215100	126216212
AC140325.3	-1	GL456354.1	146926	149659
AC163611.2	1	JH584299.1	587624	625594
Gm10722	1	9	3000922	3002330
Vmn2r122	1	JH584292.1	3536	11935
Gm21800	1	Y	41406498	41407040
Gm21820	-1	Y	5248359	5249441
Gm10283	-1	8	60430024	60503198
Gm21905	-1	5	67927261	67946421
CAAA01165726.1	1	GL456233.1	25190	25788
Fam122a	-1	19	24476502	24477356
AC133103.5	-1	GL456211.1	160465	162404
Gm10715	1	9	3036877	3038316
Gm10271	-1	10	116956824	116972609
Gm10128	-1	14	7640895	7643972
CR974586.5	-1	JH584293.1	86316	87710
Gm11077	1	6	140729284	140756053
Gm17581	-1	2	155735810	155735866
Gm21866	-1	Y	13465037	13465579
Gm10217	1	8	9864251	9870315
Gm3286	-1	GL456354.1	82993	86051
AC123873.3	1	JH584299.1	4975	7356
Gtf2f1	-1	17	57003405	57011288
Gm17604	-1	X	165003765	165004829
Gm17720	-1	8	110082803	110102753
Il11ra2	-1	JH584294.1	4164	9702
Gm49403	1	19	8883930	8887258
1810049J17Rik	-1	15	12321438	12321899
Gm21962	1	3	137671524	137672540
Gm21028	-1	7	42578466	42578588
AC125149.2	-1	GL456210.1	135395	136519
B930094E09Rik	1	18	31609512	31610751
AC164084.3	-1	JH584296.1	130715	133448
Ccl19	-1	JH584294.1	102539	104139
Gm11084	-1	2	72971548	72986716
Gm10491	-1	X	7907693	7907835
AC165294.2	1	JH584297.1	31101	33667
Gm21797	-1	Y	40775223	40775765
AC234645.1	1	JH584303.1	81607	82689
Gm17428	1	14	54976933	54977025
Gm3550	1	18	34736359	34738014
Gm9747	1	1	82233112	82235933
Srsy	-1	Y	17935713	17937330
4933409K07Rik	1	JH584293.1	140956	142665
Gm21725	-1	Y	13348521	13349063
E130116L18Rik	-1	5	25222848	25223153
4632433K11Rik	1	7	5034118	5035246
Gm2174	1	X	56447965	56448366
Gm21886	-1	18	80089297	80089962
Zc3h11a	-1	1	133619871	133661380
Gm11115	-1	5	88154023	88154099
Gm21767	1	Y	13941738	13942280
Gm17332	-1	11	31182376	31182462
Gm17651	-1	3	97673031	97674694
Gm26897	1	5	111733924	111734574
Gm17374	1	2	140152043	140153532
Gm10964	1	3	103739366	103746376
Gm9955	-1	18	24709040	24709348
Ccl21b	-1	GL456350.1	211325	212455
AC125178.3	-1	JH584298.1	168268	170838
Gm21798	1	15	64817694	64937996
Gm11111	1	5	98552695	98553744
Gm17622	1	13	96490733	96491120
Gm11096	1	17	81441763	81441923
Gm21897	1	16	15317458	15318957
Gm11037	1	2	131133497	131134215
Gm17387	1	7	141029131	141029620
Gm21773	-1	Y	25308278	25309360
Gm21060	-1	19	61296902	61297069
Gm10717	1	9	3025417	3033289
CR974586.3	-1	JH584293.1	83395	84475
Gm17402	-1	3	67365461	67375163
Gm21776	1	Y	76378662	76379744
AC165294.1	-1	JH584297.1	19740	22248
Gm21834	-1	17	57741767	57742219
AC164084.1	-1	JH584296.1	195181	197903
AC133103.3	-1	GL456211.1	226405	229375
Gm11114	1	9	85312773	85312860
AC124606.1	1	JH584299.1	837364	840451
Gm10490	1	X	7909542	7909927
Gm10961	1	3	107631322	107633090
E130208F15Rik	1	7	30321740	30323472
CAAA01147332.1	-1	JH584295.1	66	1479
Reep2	1	18	34840589	34847463
AC087559.2	-1	GL456350.1	173252	174286
