Gene name	mean
0610040J01Rik	0.4530651281373202
1600014C23Rik	0.7335904067607751
1700003F12Rik	0.29008031460711925
1700017B05Rik	0.21528028031634508
1810010H24Rik	0.0891737022521115
2610528A11Rik	0.7902652153120509
2810459M11Rik	0.2828296478224054
4930404N11Rik	0.1599045145074049
4932438H23Rik	0.3731729506495209
5430427O19Rik	0.20702930398916505
6030468B19Rik	0.2675412425287745
A2m	0.3212063951448316
A630001G21Rik	0.944104946089066
Aass	0.10744807403779973
AB124611	0.2136439022935892
Abca6	0.3698508376554846
Abca9	0.2335838683659107
Abcc3	0.152132669369962
Abcd1	0.06659952343028518
Abcd2	0.07619721484662371
Abhd12	0.08865568245310647
Abhd15	0.07873351268022223
Abhd3	0.07514076236874401
Abhd4	0.04465779876232055
Abi3	0.13181805678011496
Abtb2	0.02485916157068182
Acot11	0.07849893244001614
Acsbg1	0.09151057902164526
Acsl6	0.12724025885885198
Acss1	0.09544020451026664
Acss2	0.09326911083335583
Adam12	0.1773060915780142
Adamts2	0.07625017737048291
Adamts4	0.1015161615055638
Adamts6	0.07534261649611503
Adap2	0.15154838791901892
Adcy7	0.10703617147809236
Adcyap1r1	0.0806732479003175
Adhfe1	0.11774293398775453
Ado	0.0712414441525545
Adora1	0.035624763159996325
Adora2b	0.1236770435911652
Adrb1	0.04769928826630152
Adrb2	0.09219875661907644
Adssl1	0.040469627594164025
Afp	0.3388073728378993
Aif1	0.18102766405517048
Aifm3	0.04404708908149862
Aim2	0.39683762154213015
Akna	0.4370424108068857
Akr1b10	0.3311845286059629
Aldh1l1	0.06741826325276963
Aldh3b1	0.08011952843537205
Aldoc	0.034576324783167516
Alox5	0.04583950614119491
Alox5ap	0.0652531148267553
Alpl	0.05253119435089682
Ampd3	0.03991489405240355
Amz1	0.13417171781998954
Ang	0.07289293849658314
Angptl1	0.06825147243223928
Angptl7	0.0765306492719376
Aoah	0.2798631591252292
Apbb1ip	0.2070002183033532
Apobec1	0.3316401515880161
Apobec2	0.056452316246441675
Apobr	0.6588342659560358
Apoc1	0.2596584138583156
Apoe	0.12660592730991824
Aqp4	0.07872871133776442
Aqp9	0.3698972595602222
Arap1	0.08526211079610595
Arhgap19	0.15623188239224642
Arhgap22	0.10781889030947614
Arhgap30	0.2813601076352461
Arhgap4	0.14305722695378134
Arhgap9	0.17311179178627312
Arhgdib	0.06846807758872518
Arhgef19	0.08888522698724577
Arhgef26	0.10471390987023917
Arl11	0.15775590990717694
Arl4c	0.008293425869556932
Arl5c	0.12482391463666015
Armc3	0.14000689127805874
Arrb2	0.04660897293808463
Arsb	0.21820549968071687
Asb10	0.1871778028240205
Asb2	0.059263835879438134
Aspa	0.13531753991974646
Asrgl1	0.2257782714598005
Atp10b	0.15163681900374246
Atp13a4	0.15760640598626002
Atp1a2	0.012511884033669388
Atp1b2	0.023877692594262968
Atp7b	0.17138188280054628
Axl	0.11707221667175495
B3galt5	0.10282650594715413
B3gnt7	0.08035985589545466
Bace2	0.09331077128389538
Bank1	0.3743408182345759
Barx2	0.12478137649642745
Batf	0.035653428815645746
Batf3	0.08005156975052426
BC049352	0.09575855862375472
Bcan	0.1629075412948346
Bcas1	0.4710578751721154
Bcl2a1a	0.6199095022624435
Bcl2a1c	1.0671100362756951
Bco2	0.19952879199164114
Bfsp2	0.1813794589833256
Bhlhe41	0.1745175917585281
Blnk	0.14039294409688458
Bmp4	0.043140521449575614
Bmpr1b	0.019864145862260974
Btbd16	0.2878936714693489
Btbd17	0.03574436629124912
Btk	0.03758015460606805
C130050O18Rik	0.2647683748529477
C1qa	0.2231542652728159
C1qb	0.13868711911180634
C1qc	0.15180417327968468
C1ql1	0.02514067851058444
C1ql3	0.02920854915664404
C1rl	0.2292704003475164
C2	0.2208599435684296
C3	0.1439779755820692
C3ar1	0.458940383622692
C4b	0.2182766675898471
C5ar1	0.28134093577006475
Cables1	0.11366400296602858
Cacna2d4	0.1242184368792608
Calhm2	0.03843731361037376
Camk1	0.042015037965699074
