Gene name	sharrisii_dNdS
0610010K14Rik	0.10104431272932543
0610040J01Rik	0.19109975799946224
1110012L19Rik	0.10317460317460317
1110032A03Rik	0.34941912421805177
1110051M20Rik	0.12869098373598611
1110059E24Rik	0.20276896452264206
1190007I07Rik	0.2383458646616541
1600002K03Rik	0.24736064766697666
1600014C10Rik	0.08400786308973174
1700003E16Rik	0.01085705743498107
1700020L24Rik	0.2432370472260431
1700021F05Rik	0.19237617351893813
1700030K09Rik	0.23899794354084875
1700037C18Rik	0.13496295270410635
1700123O20Rik	0.22342244327012745
1810010H24Rik	0.0560070459185716
1810013L24Rik	0.1436155350656608
2010300C02Rik	0.2292123979278251
2210016F16Rik	0.10435682122429113
2300009A05Rik	0.08972821742605916
2310011J03Rik	0.009368216611447504
2310022A10Rik	0.11016605913325234
2310022B05Rik	0.16207276736493936
2310033P09Rik	0.02896658445766237
2310057M21Rik	0.2991334808259587
2310061I04Rik	0.20079787234042554
2410131K14Rik	0.0425550976527504
2610301B20Rik	0.2546341463414634
2610507B11Rik	0.04481719302843664
2700062C07Rik	0.540553968451124
2700097O09Rik	0.19399721725303126
2810004N23Rik	0.22245913290689406
2810006K23Rik	0.09199374887299393
3110040N11Rik	0.13816838747586668
3110082I17Rik	0.003744858958284119
4833420G17Rik	0.2420151465261771
4930402H24Rik	0.20552331398839305
4930453N24Rik	0.2345610119047619
4931406C07Rik	0.07161458333333334
4931406P16Rik	0.09104913247932543
4931428F04Rik	0.0033851678693634173
5031439G07Rik	0.02888255362901342
5430427O19Rik	0.17530027264018866
5730409E04Rik	0.11111111111111112
6030458C11Rik	0.18354061406918
6430548M08Rik	0.056043091448284205
8030462N17Rik	0.11159959418329388
9530068E07Rik	0.1656336542265594
A430005L14Rik	0.4053249545229039
Aaas	0.06433479075577764
Aacs	0.02026940674283669
Aagab	0.13175346206358493
Aak1	0.1484844047444721
Aamp	0.15351832121184045
Aars	0.037416514875531263
Aars2	0.13721169384457174
Aasdh	0.23105699405853444
Aasdhppt	0.18838961763885012
Aatf	0.13536661792354293
Aatk	0.1000852906442724
Abat	0.05458089668615985
Abca1	0.06011932078935293
Abca2	0.03480050098407586
Abca7	0.09375492079488552
Abcb10	0.08988858879135718
Abcb6	0.06472161056936143
Abcb7	0.12894596040663456
Abcb8	0.1565211307024909
Abcb9	0.041771026904742665
Abcc1	0.05397499139612252
Abcc10	0.16003330557868445
Abcc4	0.09275301077540672
Abcc5	0.05928030303030302
Abcd1	0.055182947074838964
Abcd2	0.08950539794125031
Abcd3	0.047790802524797116
