Gene symbol	Neuron	Endothelial Cells	Oligodendrocyte	Astrocytes	Microglia	Glial Cells
0610005C13Rik	0.1	0.1	0.10000000000000002	0.150958	0.1	0.11698599999999999
0610007C21Rik	34.185493	63.5611085	61.071109166666666	44.89126	89.145033	65.03580072222222
0610007L01Rik	12.028727	13.5213735	11.161262666666666	11.015039000000002	18.462418500000002	13.546240055555558
0610007P08Rik	2.0204079999999998	4.693264000000001	4.455000833333333	7.1441099999999995	0.4469	4.015336944444444
0610007P14Rik	24.370482000000003	10.569456	62.33563633333333	48.935666499999996	10.411304000000001	40.560868944444444
0610007P22Rik	13.2663215	6.066753	9.446019166666666	8.231357	6.713535	8.130303722222221
0610008F07Rik	0.1	0.1	0.10000000000000002	0.1	0.1	0.10000000000000002
0610009B14Rik	0.1	0.1	0.10000000000000002	0.1	0.1	0.10000000000000002
0610009B22Rik	9.369134500000001	12.0340855	13.513109333333333	9.0919185	2.6074355	8.404154444444444
0610009D07Rik	24.282501	32.0637435	36.17303183333333	18.8397675	13.0963695	22.703056277777776
0610009L18Rik	1.692506	1.2213319999999999	3.470532	1.8617105	1.0950894999999998	2.142444
0610009O20Rik	10.059333	17.8318975	16.162788000000003	16.5202575	26.5622155	19.748420333333335
0610010B08Rik	0.1	0.1	0.10000000000000002	0.1	0.1	0.10000000000000002
0610010F05Rik	12.84933	5.8667750000000005	5.089457	5.131502	0.6310775	3.6173455000000003
0610010K14Rik	20.967761499999998	46.622623	18.972082	10.9815705	50.769901000000004	26.90785116666667
0610010O12Rik	19.9688545	2.5099865	15.780216166666667	13.734514	2.3736509999999997	10.629460388888889
0610011F06Rik	9.060741499999999	9.6777735	9.078317166666666	5.293471	4.4735565	6.281781555555555
0610011L14Rik	6.264633	7.701411	8.143124666666667	6.575808500000001	7.1681585000000005	7.295697222222223
0610012G03Rik	13.9528785	17.532725499999998	15.788158666666666	7.9108935	22.659537	15.452863055555556
0610012H03Rik	0.1	0.1	0.17669500000000002	0.108252	0.1	0.1283156666666667
0610030E20Rik	3.13446	1.3361555	2.4143681666666663	5.335910999999999	2.342625	3.3643013888888884
0610031J06Rik	10.126548	80.3604405	29.390821	26.7512665	140.71391749999998	65.61866833333333
0610037L13Rik	9.4571165	21.949206	13.253453499999999	19.299460500000002	13.0887925	15.213902166666665
0610037P05Rik	20.504215000000002	21.4841615	26.016767833333333	16.4763895	8.771153	17.088103444444442
0610038B21Rik	0.1526295	0.121366	0.12430999999999999	0.1	0.1	0.10810333333333333
0610039K10Rik	0.305342	0.578677	0.13958833333333334	0.1734565	0.4243295	0.24579144444444445
0610040B10Rik	1.534926	2.8613299999999997	3.1380905	1.5841485	0.711292	1.811177
0610040F04Rik	0.1	0.1	0.1364145	0.170128	0.1	0.13551416666666669
0610040J01Rik	1.3493510000000002	0.12887500000000002	14.974426666666668	13.94903	46.432484	25.11864688888889
0610043K17Rik	0.1100585	0.1	0.10000000000000002	0.1	0.1	0.10000000000000002
0910001L09Rik	21.235075000000002	25.6670245	30.408224833333335	12.335172	54.7623445	32.50191377777778
1100001G20Rik	0.1	0.1	0.10000000000000002	0.1	0.6910385	0.29701283333333334
1110001A16Rik	4.7171855	10.139623	4.6199848333333335	2.605917	8.949402500000001	5.391768111111112
1110001J03Rik	19.5763715	17.4175665	16.950582166666667	16.720589	7.26272	13.64463038888889
1110002B05Rik	23.606503500000002	117.5112445	55.824498	29.351776	19.921542000000002	35.032605333333336
1110002L01Rik	1.3826755	0.20595049999999998	0.7744955	0.5593015	0.2444425	0.5260798333333333
1110002N22Rik	1.2207445	1.9660605	1.0725006666666665	2.646225	2.148067	1.9555975555555556
1110003E01Rik	30.054303	30.029519999999998	35.26449516666667	12.461276	24.004175500000002	23.909982222222226
