Gene name	mdomestica_dNdS
0610010F05Rik	0.12083628632175762
0610012G03Rik	0.08401388576708872
0610030E20Rik	0.05441008018327607
1110004F10Rik	0.0571305378894039
1110012L19Rik	0.1973042475835772
1110032A03Rik	0.14046797084771767
1110038F14Rik	0.07587194485570739
1110051M20Rik	0.05750575057505751
1110059G10Rik	0.120299718154946
1600002K03Rik	0.1535496558505408
1600012H06Rik	0.07026627218934911
1600014C10Rik	0.09994329458463283
1700001C19Rik	0.008124620247166835
1700017B05Rik	0.13598669469404726
1700020L24Rik	0.2274547611984574
1700021F05Rik	0.1904596704249783
1700030K09Rik	0.1985079365079365
1700037C18Rik	0.12488215699830305
1700066M21Rik	0.2283549783549784
1700094D03Rik	0.2252239132017768
1700123O20Rik	0.15414078674948242
1810013L24Rik	0.07497283592901123
1810030O07Rik	0.201767975940946
2010300C02Rik	0.17632009394790926
2210016L21Rik	0.23277366802427066
2210408I21Rik	0.3670270270270271
2300009A05Rik	0.1438164521544488
2310009B15Rik	0.4327471482889734
2310011J03Rik	0.014720400363611484
2310022A10Rik	0.09314723272269072
2310022B05Rik	0.16522802474464104
2310057M21Rik	0.3145980458546967
2410004B18Rik	0.05995979967976017
2410131K14Rik	0.04543652366981207
2510009E07Rik	0.06500738720309128
2510039O18Rik	0.056770141321415626
2610507B11Rik	0.07060494652406417
2700049A03Rik	0.2869163750093082
2700097O09Rik	0.23397075365579306
2810004N23Rik	0.18552774755168666
2810006K23Rik	0.06757693582903819
3110009E18Rik	0.07474043521547433
3110082I17Rik	0.0843927400655633
4430402I18Rik	0.4922692787861327
4833420G17Rik	0.2663793103448276
4921524J17Rik	0.06555748696299975
4930404N11Rik	0.17419129218394822
4930430F08Rik	0.112882096069869
4930453N24Rik	0.2510309730630868
4930503L19Rik	0.3535920211937042
4930523C07Rik	0.13297905209170116
4930579G24Rik	0.09506775067750678
4931406P16Rik	0.09149169407201282
4931428F04Rik	0.0965199286139203
4932438A13Rik	0.03561966440977333
5730409E04Rik	0.11283655457490785
5730455P16Rik	0.1284027221777422
6030458C11Rik	0.18011728567439264
6430548M08Rik	0.05636580992229528
8030462N17Rik	0.10605800583490647
9430015G10Rik	0.29217492862704386
9530068E07Rik	0.20127944416200647
9930012K11Rik	0.35646625444020524
9930021J03Rik	0.2209775967413442
9930104L06Rik	0.13705998175094847
A430005L14Rik	0.3479360417686409
Aacs	0.03119699092853455
Aak1	0.1443941802176305
Aamp	0.05964335180055401
Aars	0.04193981518047548
Aars2	0.15894343079624398
Aasdhppt	0.173607626693427
Aatf	0.13445899379738113
Abat	0.061163895486935876
Abca1	0.05724986623863027
Abca2	0.04548187831410922
Abca3	0.09206884101576604
Abca4	0.11793904497170656
Abcb10	0.15386994988554106
Abcb6	0.11623439000960616
Abcb7	0.16041038020519008
